timestamp,led,action
2025-09-17T11:49:53.333780,3,ON (GUI)
2025-09-17T11:49:53.975562,3,OFF (GUI)
2025-09-17T11:49:54.415417,2,ON (GUI)
2025-09-17T11:49:54.822886,2,OFF (GUI)
2025-09-17T11:49:55.200885,1,ON (GUI)
2025-09-17T11:49:55.483133,1,OFF (GUI)
2025-09-17T11:50:29.462068,0,RESET
2025-09-17T11:54:49.773304,1,ON (GUI)
2025-09-17T11:54:51.189261,2,ON (GUI)
2025-09-17T11:54:51.801423,3,ON (GUI)
2025-09-17T11:55:03.392637,0,RESET
