timestamp,led,action
2025-09-17T00:35:39.107207,3,ON (GUI)
2025-09-17T00:35:39.436418,2,ON (GUI)
2025-09-17T00:35:39.670998,2,OFF (GUI)
2025-09-17T00:35:40.253412,3,OFF (GUI)
2025-09-17T00:35:42.341808,0,RESET
